Datetime,username,Text,language,coordinates
2021-12-30 23:45:07+00:00,Ik_zelf,"The last night of 2021. A year full of #covid19 
About a hundred years ago the world struggled  with the Spanish flu that just seemed to disappear. Would 2022 be the year this happens with Covid-19?
Let’s hope so. Wishing you all the best for a wonderful new year!",en,"Coordinates(longitude=5.31901184493557, latitude=51.9674946487294)"
2021-12-30 22:42:37+00:00,TerMarinus,"2e nachtdienst en 2e rit covid.
#dmvda",de,"Coordinates(longitude=3.9418364, latitude=51.8421131)"
2021-12-30 22:34:31+00:00,yogasnuiver,"Je bent niet 'wakker' als je nog steeds gelooft dat COVID-19 iets anders dan een verkoudheid is. Van 'SARS-CoV-2' word je verkouden, of je merkt niets omdat je immuunsysteem goed werkt. En dat is hoe simpel het is.",nl,"Coordinates(longitude=4.5993661, latitude=52.3388496)"
2021-12-30 21:37:01+00:00,cymru_simon,"Take away and a few drinks tomorrow night, that's all. I don't need to actively try and catch covid to see in the New Year.",en,"Coordinates(longitude=4.7780247, latitude=52.5188078)"
2021-12-30 21:07:18+00:00,kindval,"@locuta @contrapunt Engeland loopt paar weken op ons voor en daar stijgen de ziekenhuisopnames nauwelijks. Als je echt wilt weten wat ons te wachten staat, bekijk https://t.co/FcytdGKQcU Een uitmuntende bron mbt covid ontwikkelingen.",nl,"Coordinates(longitude=4.4391012, latitude=52.1188805)"
2021-12-30 20:48:36+00:00,deplo9,"@OBraeckenssieck Ben er helemaal klaar mee. Thuis al onenigheid, gezever over Covid, moet booster nemen, moet helemaal niets. Als de eerste 2 al niet werken dan de volgende 3,4,5,6,7,8,9 wel?",nl,"Coordinates(longitude=4.4152156, latitude=52.0316125)"
2021-12-30 20:36:53+00:00,Wardtmar,Zou Hugo nu de Covid welig laten tieren zodat overleden #ouderen voor meer lege woningen gaan zorgen? #stoelendans,nl,"Coordinates(longitude=4.4349117, latitude=52.1618802)"
2021-12-30 20:35:22+00:00,HaythemTUN,Do I need to mention in my CV if I'm vaccinated or not in my CV ? #Covid_19,en,"Coordinates(longitude=4.4349117, latitude=52.1618802)"
2021-12-30 20:33:36+00:00,yogasnuiver,"@PGoldschmeding Ja blijkbaar, je pretendeert toch een 'cOvId SuRvIVoR' te zijn? 🤣",nl,"Coordinates(longitude=4.5993661, latitude=52.3388496)"
2021-12-30 20:09:30+00:00,Robvandergaag,Heeft #robjetten #d66 al een antwoord waar alle plastic #covid testers blijven?,nl,"Coordinates(longitude=4.3507565, latitude=51.8966225)"
