Datetime,username,Text,language,coordinates
2018-12-23 09:22:53+00:00,IngmarG,"Daar is ie hoor: de schuwe, maar o zo aaibare 🐈 van Restaurant LE:EN. Goed voor 'Stroke a cat a day keeps the doctor away' pt. 3.  Benieuwd wat we vandaag tegenkomen aan 😾 op onze missie… https://t.co/jS4uZRiC6a",nl,"Coordinates(longitude=5.12144, latitude=52.07521)"
2018-12-22 06:40:06+00:00,Snaartheorie,Met zoonlief Doctor Who aan het bingen gisteravond. We stappen in in 2010. Goeie doctor. Zoonlief onder de indruk. Hij voelt die Britse lulligheid en mysterie wel aan. #DrWho,nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-12-21 22:47:21+00:00,julalouise,"@simonharley That was the career I was gunning for. Managed the doctor thingy, am working tirelessly on a world class alcoholic concoction, but the naval career didn’t work out. No room for a doctor with a lazy eye. Lord Nelson would have been shocked, I’m sure! #NavyMedicine",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-12-21 19:39:53+00:00,IngmarG,"'Stroke a cat a day keeps the doctor away' pt. 2. Deze lag lekker opgerold te tukken in de cd-zaak/speelgoedwinkel. Beetje versuft exemplaar helaas 😾. 🎄 #kerstvakantie!
#
#
#
#raankatten… https://t.co/fFl0rITjdZ",nl,"Coordinates(longitude=5.28286, latitude=52.05214)"
2018-12-04 05:49:59+00:00,Olo_Aby,Las las small doctor switched off shrine’s generator yday😂😂😂😂,en,"Coordinates(longitude=4.9785895, latitude=51.9910385)"
2018-11-20 08:30:27+00:00,SwatantraKumar,Who loves? A Doctor?! https://t.co/Rf7CYKMAXq,en,"Coordinates(longitude=5.0957493, latitude=52.2777847)"
2018-11-18 19:18:54+00:00,DanielHurdiss,"Quite an eventful week...became a Doctor and earlier tonight I found out I'll become a husband too! Happy anniversary @IevaDrulyte, I'm so excited to start the next chapter of our lives together! 🥂 #shesaidyes https://t.co/F8F0EQdq6z",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-11-08 11:38:41+00:00,Arjan55,@OliviaAshkenazi @CarlSchroder1 Het waren tog alleen maar advocaaten en doctors,nl,"Coordinates(longitude=5.1140838, latitude=51.8472111)"
2018-11-05 17:01:56+00:00,mirrin,Gefeliciteerd doctor @suzannekaal! Geniet ervan! 👩🏼‍🎓📜,nl,"Coordinates(longitude=5.1195597, latitude=51.9594995)"
2018-11-04 19:48:17+00:00,stew_sc,Just caught ten minutes of Doctor Who... I just don’t get what people see in this clap-trap!,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-11-01 13:32:30+00:00,robertaevcastro,"@DrDaleNeedham @RehabHopkins @icurehab @UtrechtEDA20181 That’s true, doctor! Thanks for retweet! This is wonderful! I hope that I can help to spread the importance of early mobilization in ICUs! ☺️",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-10-18 20:02:15+00:00,julalouise,"@MilOrthoTrauma @NatMuseumRN @IndiAliceJones @mattlodder @UniPortCCI Great idea, went to the great exhibition about seamen’s tattoos in the @Sjohistoriska few years ago. Was very tempted after that. What do you think? Female doctor with love for naval history: aesculapius crossed with anchor?",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-10-10 04:27:23+00:00,julalouise,"@GavinPrestonMD 1) dishwasher/restaurant personnel   2) newspaper salesperson 
3) nursing assistant                                     4) writing for cardiovascular research             
5) Doctor",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-10-06 21:45:16+00:00,henkjansmits,Mother’s Finest -1 was ondanks t gemis van Glenn 'Doc' Murdock toch te gek. Doc had geen stem meer. Mocht niet zingen. Doctor’s Orders. @tivre_utrecht @ TivoliVredenburg https://t.co/p929oqriaZ,nl,"Coordinates(longitude=5.11269938, latitude=52.09265278)"
2018-09-21 19:41:26+00:00,yingyingpot30,@angmanobo @TataLeeKnow @JuanTam82204630 @Fitch1124 @EmeraldJackie @lenirobredo @pnppio @PdeaTopStories @CIDG_PNP @DILGPhilippines kaya nga hindi ko pinatulan yang issue nya about fentanyl kasi hndi naman ipprescribe sa kanya ng doctor kung hndi nya kailangan.. prescribed med yun...,tl,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2018-09-19 09:57:44+00:00,aishitmypants,@AsarelahB Doctors are for pussies 😂,en,"Coordinates(longitude=5.2432057, latitude=52.1103985)"
2018-09-09 07:42:35+00:00,MGvanDalen,"#AI predicted that people in a coma, who doctors had written off, would wake up. And they did.
👨‍⚕️🤖
#ArtificialIntelligence #HealthTech #healthcare #tech #prediction https://t.co/RtwdkDeFZe",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-08-10 05:49:25+00:00,Purring_Kittens,"I'm going to the zoo today w/ stefan, my mom, @TheEmoSquid and Luna. But first I need to go to the doctor again 😭",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
