Datetime,username,Text,language,coordinates
2019-12-27 15:34:47+00:00,JarekFA,@Hawk_Engineer @jtLOL @ryanlcooper I think his terminal illness was to blame. You Americans are such suckers. You have the worst healthcare of the developed world and you fight like hell to keep it that way. I’ll enjoy my free in home doctor visits here in Holland while you go blame The Mexicans.,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-12-27 15:22:01+00:00,JarekFA,"@mtyworth @redsteeze I’m visiting family in Holland right now and peep this, my mother-in-laws government run healthcare includes paperwork/cost free home visits from doctors. It’s crazy how Americans tolerate their broken system. And then you have those who want it to stay awful. You’re all suckers!",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-12-27 05:45:42+00:00,simdachi,@AliBulle10 @Hamaalin A crazy world. What would become of the students if the teacher is a fake one! So u have doctors who also fake. This is uncharted grounds,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-12-19 18:52:33+00:00,ethelmurmanknee,@doctor_oxford @Tpopularfront James is one of the biggest dinlos around,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-12-18 18:57:51+00:00,artisticath,"@felirich_ Doctor literally made me feel THE WORST for being overweight. He made me feel like I wasn't worthy and should immediately stop eating and that's the worst I've ever felt.

Nothing makes skinny shaming okay, but I feel like that feeling is what the guy was trying to point out :(",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2019-12-18 18:56:30+00:00,artisticath,"@felirich_ But as a person who was underweight when I were younger.. the doctors always told me I was underweight (do I spell this right) but told me it was all going to be fine.
Things in my life changed and I got fuller. 

When my BMI was literally as much above as it was beneath the -",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2019-12-12 14:34:27+00:00,philipnitschke,"Laura prepares to leave for Switzerland - a country where ridiculous controls such as those in the new WA euthanasia law “doctors with at least 10 years of experience will assess the application before giving their final decision” don’t apply. I will meet her in Zurich, Sunday https://t.co/o0B2yedELC",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2019-12-09 21:33:47+00:00,ethelmurmanknee,@mac123_m @Tpopularfront @ScouseGirlMedia @OwenJones84 @chunkymark @PeoplesMomentum @chessmartinez @johnmcdonnellMP @AaronBastani @doctor_oxford @robdelaney @jeremycorbyn Yep UK will suffer getting it done for decades. My moral victory is not with one penny of my money,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-12-08 19:08:50+00:00,ethelmurmanknee,@doctor_oxford Getting our sick done in the real BJ slogan,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-12-01 13:14:28+00:00,medikliniek,Yesterday doctor Kara attended  the Association of Cosmetic Medicine (NVCG) conference. The NCVG is the government-recognized scientific association for cosmetic medicine and aims to improve the quality and… https://t.co/Ojyf0xoBtP,en,"Coordinates(longitude=4.98194219, latitude=52.22317455)"
