Datetime,username,Text,language,coordinates
2020-12-11 14:23:39+00:00,IngmarG,"Diep ontroerende foto 💚💝

#Repost from @elsierd. 
 ... 
Personeel van het Hospital del Mar, Barceloneta, Barcelona, laat Corona-patiënt Francisco España(60), na 52 dagen op de IC naar de zee kijken. (📷 Emilio Morenatti) https://t.co/5uFwkOyQfu",nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-12-02 00:16:09+00:00,Tonivelos,@AntonioMaestre Cuando has visto caer un Boeing 747 y que se llene un hospital de heridos? Un desperdicio el aire que respira,es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-11-30 18:50:47+00:00,claymantweets,"So the right-wingers in the EU are now calling hospitals not “fit for purpose” seeing as they are drowning in patients. You can’t even fathom this bullshit anymore. Let me out of this simulation, I’m done.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-11-30 10:06:09+00:00,claymantweets,"@tuli_not_thuli Understandable. With the case load in South Africa, the hospitals should really not be at capacity. If they are, then there’s a serious issue looming when winter hits again.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-11-24 13:10:17+00:00,AquinoxMedia,"What the hell. German cops throwing activists from tree, nearly dead in hospital #polizeiproblem https://t.co/4n4Wdw44oO",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-11-22 09:34:05+00:00,stigma_fighter,"Thank you for all your prayers and positive vibes,my surgery went well I am about to be discharge from hospital. Gratitude for all your support! #gratitude  #PositiveVibes #grateful https://t.co/bSkTNDFa0v",en,"Coordinates(longitude=5.1792141131297615, latitude=52.08629740246989)"
2020-11-13 20:48:23+00:00,bartvankuik,"@UMCUtrecht Proficiat! 
World's Best Hospitals 2020 - Top 100 Global https://t.co/yPpXZOq4MG",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-11-02 07:28:48+00:00,RoarandClank,"I read my hospital letter in preparation to call for a proper uh, kneeleg doctor for my healing process and I have to snicker at the fact they felt to write down that;

Mrs Veens is an alert and adequate woman 

🤣🤣",en,"Coordinates(longitude=5.2432057, latitude=52.1103985)"
2020-10-30 17:44:22+00:00,RoarandClank,"First time in the hospital fuck yes... 😭😭😭

I dislodged my knee during work, i screamed the whole street out of their house lmao. Had to wait 30 minutes for an ambulance due to corona and the shortage of staff 🤪

They just took photos so im waiting for the doctor... https://t.co/XUZeKWgJSD",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-10-22 10:54:28+00:00,VISSOEDDHA,@TomCoronel @circuitspa @TCR_Series Good luck Tom. Stay out off any Belgian hospital........,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-10-19 22:19:00+00:00,EttoreTimpanaro,"@TijnBroekman 17 out of 20 regions have more people in the hospital than on the day of the lockdown in March. 12/20 more people in ICU. In March the problem was only in Lombardia, but I think that stat just tell how bad thing already are. Doing nothing now will make a lockdown unavoidable.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-10-13 13:18:56+00:00,claymantweets,"@noaheIeazar Correct, but we still have adequate IC capacity in place. That being said the hospitals have disaster plans currently in place. The plan is to leverage German IC capacity and to isolate and defer other patients while we are in the midst of the 2nd wave.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-10-05 12:56:01+00:00,johnnysocratous,"@gpsyllides More than 60% of the patients in the study are male - average age 67 years.
Almost a third of the patients already had cardiovascular disease before admission to hospital.",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-10-05 12:49:22+00:00,johnnysocratous,"Slightly more than 1 in 10 of the corona patients who ends up in the hospital develop heart problems - Arrhythmias most common. This is shown by a large study in 3,011 corona patients, which the Heart Foundation supports. https://t.co/wh381cf71L",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-10-05 12:49:19+00:00,johnnysocratous,"Nearly 12% of corona patients admitted to hospital experience heart complications such as cardiac arrhythmias. 7% of them will develop a pulmonary embolism. This is evident from an international registration of 3,011 patients in mainly Dutch hospitals. #COVID19",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-10-02 21:59:28+00:00,peSHIr,"@briantylercohen @shanselman What did he break, that he needs to go to hospital?",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-10-02 17:41:27+00:00,Shebnem_T,"#Armenia continues to fire heavy artillery shells at densely populated areas - district and village centers, civil infrastructure facilities - houses, hospitals, school buildings, kindergartens, government buildings and farms.
#StopFiringCivilians 
#FreeKarabakh https://t.co/kF8rPvOh0R",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-10-02 16:52:08+00:00,Shebnem_T,"#Armenia continues to fire heavy artillery shells at densely populated areas - district and village centers, civil infrastructure facilities - houses, hospitals, school buildings, kindergartens, government buildings and farms.
#StopFiringCivilians 
#KarabakhisAzerbaijan https://t.co/5gNOnAAFW4",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-10-02 05:16:23+00:00,voellig,@morebanchanpls @Rooftop_gambler At least Boris went to the hospital even though nothing changed in the end,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-09-30 16:10:57+00:00,rdaverschot,"Events anno 2020... 🙌🏼🎙

@skipr Gastvrij Leiderschap 

#hybridevent #Moderator #Livestream #SocialDistancing #liveevent #eventprofs #presenter #dagvoorzitter #hospital #hospitality https://t.co/JCRCgih1F9",nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-07-09 07:38:33+00:00,KISSTHEV0ID,"@Cattlebat1 Just to let you know: No diabetes, my eyes are completely fine and my sight is 100% (even though optician sold me glasses for some minimal thing they measured but the eyedoctor at the hospital said I didn't need them). I do have a miniscule form of innate cataract, all normal!🤓",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-07-05 03:50:49+00:00,therealrsharkey,"@RosamundUrwin I had the same, don’t worry it was all worth it in the end. ❤️ You are safer from corona now all those other pub-going partners can’t come along to scans and spread it around the maternity hospital.",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-06-15 18:07:52+00:00,stopoftheday,"The Amazing Whale Jaw. Spaarne Hospital, Hoofddorp, Netherlands. #BusStopoftheDay (though technically a bus station) https://t.co/0jMrevTvqH",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-06-07 19:25:02+00:00,Zilfstar,@missy2938 @SophiaMyles There are several great scenes... like how Mick opens the doors in the hospital. And OMG just realised the necklace Mick wears... it‘s a cross of 4 fleur-de-lis!,en,"Coordinates(longitude=4.9092946, latitude=52.1149386)"
2020-06-01 19:36:42+00:00,KasperJanssen,"@Mind_the_time @SRBR_Outreach Hi Laura, great work! I'm really interested in your poster! Could I receive a copy as pdf please? I'm currently working on the implementation of napping in Dutch hospitals. Thanks!! kasperjanssen@desportarts.nl",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-05-10 15:21:37+00:00,Ryan__030,So I felt and now my wrist need to get checked at the hospital ... 🤕,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
