Datetime,username,Text,language,coordinates
2017-12-22 17:31:25+00:00,FNInl,Gefeliciteerd namens jullie historie! En wat een prachtig en hoopvol magazine hebben jullie gepubliceerd. A must read for every Dutch nurse! https://t.co/1fboPIdEI5,nl,"Coordinates(longitude=5.1423365, latitude=51.9196095)"
2017-12-18 22:21:27+00:00,JJ_boelens,"@Mohty_EBMT @DrBattiwalla @TheEBMT @TheEBMT_Nurses @BldCancerDoc @MyelomaTeacher @khaledghanem @DrMiguelPerales ✅ x4
Looking 4ward to meet up in Lisbon #EBMT18",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-01 20:27:33+00:00,FNInl,Queen's nurses in Schotland kennen een lange traditie. Sinds vandaag zijn er 20 van deze super wijkverpleegkundigen bij. Onze eigen Lientje Kruysse is in 1895 ook opgeleid bij hen @VenVN_MGZ https://t.co/50Hzkb3uha,nl,"Coordinates(longitude=5.1423365, latitude=51.9196095)"
2017-11-06 13:37:31+00:00,Antonie19031966,"Dutch: iPad, FaceTime &amp; iot activity trackers results &amp; https://t.co/R5qOPrwyxv &amp; local nurse visits with 6weeks first line doctor check. https://t.co/R3g5dDN1x9",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-10-09 20:11:54+00:00,FNInl,"Als je in de buurt bent op 12 oktober, ga er heen! Christine Hallett is niet alleen een geweldige nurse historian, ook een topspreekster. https://t.co/PBT2jfUTYY",nl,"Coordinates(longitude=5.1423365, latitude=51.9196095)"
2017-08-17 00:49:51+00:00,kinderVPK_Kees,"Laatste nachtdienst. [5/5]
#nightshift #pancakes #nurselife #nurse @ UMC Utrecht https://t.co/xhar7E9soy",nl,"Coordinates(longitude=5.18002315, latitude=52.08611605)"
2017-07-01 07:39:04+00:00,Niek_NTe,@JeremyLewisPT @ChrisWorsfold1 But her 'latest evidence' showed i had to buy an expensive medicine. I refused and asked the nurse if there was anything else i could do...,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-06-17 06:08:20+00:00,Wekesah,"This is criminal, and should be treated as such! Striking nurses release mentally ill patients to the streets https://t.co/sAOYbIWqmX",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-05-12 13:56:29+00:00,NLC_Healthtech,Without nurses no healthcare! Shoutout to all the amazing nurses worldwide who improve lives for all #InternationalNursesDay #impact https://t.co/fwYyAV4Z2O,en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2017-03-20 07:30:25+00:00,merlijnstoffels,#RedCross nurses are saving lives in the rural communities everyday. In #Somalia 1 million children need help urgently #hunger @Federation https://t.co/HIVbVbaAnF,en,"Coordinates(longitude=4.7919685, latitude=52.0649667)"
2017-02-18 18:21:37+00:00,infooverkanker,"@Nursenance9 Hi Nurse Nancy would you be follower of the Twitter feed that goes on the website
https://t.co/fGcZNeWqoc?",en,"Coordinates(longitude=5.1423365, latitude=51.9196095)"
