Datetime,username,Text,language,coordinates
2018-12-20 16:32:55+00:00,josdeblok,"@disruptandlearn @AdiStaempfli @buurtzorg It’s a great podcast Lisa. Proud of the Houten team and the nurses Marian, Chia and Jolanda!",en,"Coordinates(longitude=5.0176128, latitude=52.278009)"
2018-12-08 13:23:24+00:00,Toosje_V,"@Esther__Nurse Recent zelfde soort casus, na 5 dagen (!) bedje gevonden in particulier huis ( omdat fam het kan betalen..) 🙄En de bestuurstafels doen alsof het geregeld is maar in de praktijk elke keer een probleem",nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-12-07 11:13:42+00:00,MarkGaze,"@drjamesgood @miketighe9788 @OncologyForum @franwoodard @macmillanpress @emlougreen @CR_UK @NursingTimes @CRUK_Policy @cpeedell A tripling of numbers is impractical, James, but we do need a substantial workforce increase in those diagnosing and treating cancer. This includes radiologists, pathologists, endoscopists, oncologists, radiographers and nurses and other professional groups.",en,"Coordinates(longitude=5.1532516, latitude=51.9976555)"
2018-12-06 17:43:50+00:00,benhoogendam,@Esther__Nurse @Paramitas038 Dan is dat ook het probleem van je werkgever. Jij houdt je aan je plicht volgens je arbeidsovereenkomst : nl beschikbaar zijn voor werk. En dat goed uitvoeren. Kwestie van je niet verantwoordelijk maken voor iets waar je niet verantwoordelijk voor bent.,nl,"Coordinates(longitude=5.0949925, latitude=52.085001)"
2018-12-06 17:39:53+00:00,benhoogendam,@Esther__Nurse @Paramitas038 Het is niet aan jou om te bewijzen dat je werkt. Zoals eerder aan gegeven : je hebt een arbeidscontract met je werkGEVER. die dient sis te weten dat je ook werkt ook al is het niet “ingeplant”. Jij hebt geen contract met de zorg verz. Daar moet je werkgever maar mee dealen.,nl,"Coordinates(longitude=5.0949925, latitude=52.085001)"
2018-12-05 23:43:49+00:00,MarkGaze,"@JeanTremlett Absolutely. We need radiographers, physicists, nurses....

The list is lengthy.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-12-05 06:06:10+00:00,gewoonBar,@Esther__Nurse ❤️,und,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-11-08 07:45:57+00:00,Omamonden,"@Esther__Nurse Ester is goud waard @MinPres, ipv stukje aluminiumfolie",nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-11-03 21:08:27+00:00,Lennie333,"Fully agree, all ICU nurses actually (but explain PT, OT, SLP??) https://t.co/mN1My7AjBM",en,"Coordinates(longitude=5.13723773496987, latitude=52.084207011421)"
2018-11-02 11:07:14+00:00,OReganNiamh,Career strain experienced by nurse assistants significantly reduced after blended learning delirium education in LTC. An example of how improving delirium knowledge can improve health for patients and for healthcare professionals too! #EDA2018 https://t.co/Tz8yxgGKIm,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-09-17 15:39:45+00:00,disruptandlearn,"Today I spent the afternoon drinking tea in the garden with three @buurtzorg nurses in Houten. It felt like a dream to hear about how they have been pioneers, what they've learned, how they work as a team... such a privilege to have met them #futureofwork",en,"Coordinates(longitude=5.1195597, latitude=51.9594995)"
